relevance,shrink_mode,lambda,ROC AUC,replication
20,hs_global_permutation,0.1,0.5735096615430775,1
20,hs_global_permutation,1.0,0.5825533909160147,1
20,hs_global_permutation,10.0,0.6238046198850655,1
20,hs_global_permutation,25.0,0.6478001011639625,1
20,hs_global_permutation,50.0,0.6723506292936985,1
20,hs_global_permutation,100.0,0.6819531078107811,1
00,hs,0.0,0.49025304410186055,2
00,hs,0.1,0.49025304410186055,2
00,hs,1.0,0.49025304410186055,2
00,hs,10.0,0.4913289694214833,2
00,hs,25.0,0.4969329104177094,2
00,hs,50.0,0.4812991721895054,2
00,hs,100.0,0.47858310991918673,2
00,hs_entropy,0.0,0.49025304410186055,2
00,hs_entropy,0.1,0.49025304410186055,2
00,hs_entropy,1.0,0.49025304410186055,2
00,hs_entropy,10.0,0.4915684808467917,2
00,hs_entropy,25.0,0.4886759173539744,2
00,hs_entropy,50.0,0.4755145286277145,2
00,hs_entropy,100.0,0.47473126934244564,2
00,hs_log_cardinality,0.0,0.49025304410186055,2
00,hs_log_cardinality,0.1,0.49025304410186055,2
00,hs_log_cardinality,1.0,0.49025304410186055,2
00,hs_log_cardinality,10.0,0.4962764126060474,2
00,hs_log_cardinality,25.0,0.48779857684238204,2
00,hs_log_cardinality,50.0,0.47458272687990205,2
00,hs_log_cardinality,100.0,0.47464497252105664,2
00,hs_permutation,0.0,0.49025304410186055,2
00,hs_permutation,0.1,0.47989439263211925,2
00,hs_permutation,1.0,0.4847581723672526,2
00,hs_permutation,10.0,0.5082996821223463,2
00,hs_permutation,25.0,0.4989164758199237,2
00,hs_permutation,50.0,0.5083655680796231,2
00,hs_permutation,100.0,0.502748895272692,2
00,hs_global_permutation,0.0,0.49025304410186055,2
00,hs_global_permutation,0.1,0.4994750550753089,2
00,hs_global_permutation,1.0,0.5076408619523439,2
00,hs_global_permutation,10.0,0.5172798421543686,2
00,hs_global_permutation,25.0,0.5101803401711098,2
00,hs_global_permutation,50.0,0.4969529322488767,2
00,hs_global_permutation,100.0,0.47896692713097533,2
05,hs,0.0,0.5173922085227227,2
05,hs,0.1,0.5173922085227227,2
05,hs,1.0,0.5173922085227227,2
05,hs,10.0,0.5105675664814802,2
05,hs,25.0,0.4998384720432944,2
05,hs,50.0,0.5012768164875523,2
05,hs,100.0,0.502449784908436,2
05,hs_entropy,0.0,0.5173922085227227,2
05,hs_entropy,0.1,0.5173922085227227,2
05,hs_entropy,1.0,0.5173922085227227,2
05,hs_entropy,10.0,0.5123950025206331,2
05,hs_entropy,25.0,0.5046898979894334,2
05,hs_entropy,50.0,0.5041384407911849,2
05,hs_entropy,100.0,0.5116581002309333,2
05,hs_log_cardinality,0.0,0.5173922085227227,2
05,hs_log_cardinality,0.1,0.5173922085227227,2
05,hs_log_cardinality,1.0,0.5173922085227227,2
05,hs_log_cardinality,10.0,0.5152799819224578,2
05,hs_log_cardinality,25.0,0.504597228171993,2
05,hs_log_cardinality,50.0,0.5042654488738613,2
05,hs_log_cardinality,100.0,0.5129897819634863,2
05,hs_permutation,0.0,0.5173922085227227,2
05,hs_permutation,0.1,0.5001831722736758,2
05,hs_permutation,1.0,0.508033146470152,2
05,hs_permutation,10.0,0.5095206658379426,2
05,hs_permutation,25.0,0.5159510569755726,2
05,hs_permutation,50.0,0.5230224076510485,2
05,hs_permutation,100.0,0.5163870334808779,2
05,hs_global_permutation,0.0,0.5173922085227227,2
05,hs_global_permutation,0.1,0.5103076820315666,2
